id,original_phase,outcome,day14_S,slice_requirements,owner,full_release_status,s_bound
E-032,R,"Export, private-asset retention and account/workspace exit",MUST-SHIP bounded subset; not full outcome,S6,O,OPEN; historical baseline not target acceptance,Bounded S subset as specified in03-delivery; full outcome remains open
E-033,P,Subscription entitlements and usage budgets,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-034,E,Centrally owned inventory and redistribution between businesses,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-035,P,Conditional transfer approvals and broader transfer policy,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-036,C,"Everyday collection home, scan/import, drink history and acquisition records",DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-037,C,Private invited cellar collaboration,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-038,C,Edit/delete personal tasting notes with source-separated reference notes,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-039,C,"Drinking windows, cellar health and snoozable reminders",DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-040,C,"Wishlist, intended purchases and expected deliveries",DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-041,C,Permissioned copy of selected nonconfidential work tasting notes,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-042,P,"Advanced custody, condition, provenance and third-party storage",DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-043,P,Photo-backed cellar representation,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-044,C,Conversational wine explanations and recommendations with optional private context,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-045,P,Voice lookup and hands-free interaction,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-046,S,Verified company representation and reusable producer/product portfolio,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-047,S,"Account-specific availability, prices, terms and quotes to restaurants",DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-048,S,"Coordinate orders, allocations, shipment status and exceptions",DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-049,P,Low-friction document or scoped-link participation,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-050,P,Attributed withdrawal notices and affected-lot inquiry,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-051,B,Scan/search a bottle and compare exact product alternatives,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-052,B,Find physical and online sellers with observed offers,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-053,B,Pickup and delivery eligibility with transparent total-price components,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-054,B,Connected-seller request/status and clear external-store handoff,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-055,B,"Saved comparisons, follows on wines and price/availability alerts",DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-056,G,Private invited tasting groups and explicit shared discussions/lists,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-057,G,"Opt-in public profiles, follows, posts and interaction",DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-058,G,"Report, block, moderation appeal and disclosure of commercial content",DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-059,P,"ABV, ingredients, low/no alcohol and packaging assertions",DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-060,P,Opt-in customer feedback and shared demand insights,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-061,P,Clearly separated labeled sponsorship without ranking influence,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-062,P,Country-by-country European rollout after USA validation,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-063,X,"Terroir merchant checkout, payment capture and alcohol fulfillment",EXCLUDED,,later admission,OPEN; historical baseline not target acceptance,EXCLUDED; no merchant checkout/payment/fulfillment scope
E-064,P,Outbound Toast availability updates,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-065,R,"Real pilot feedback, investor evidence and release acceptance record",MUST-SHIP bounded subset; not full outcome,S7,O,OPEN; historical baseline not target acceptance,Bounded S subset as specified in03-delivery; full outcome remains open
E-066,R,Measured performance and capacity within the operating budget,MUST-SHIP bounded subset; not full outcome,S7,Q,OPEN; historical baseline not target acceptance,Bounded S subset as specified in03-delivery; full outcome remains open
E-067,R,Permissioned venue and single-business operational reports,DEFERRED,,later admission,OPEN; historical baseline not target acceptance,No S implementation
E-068,R,Basic pilot access and entitlement administration,MUST-SHIP bounded subset; not full outcome,"S1,S6",C,OPEN; historical baseline not target acceptance,Bounded S subset as specified in03-delivery; full outcome remains open
